기간	자치구	합계	합계	아동복지시설	아동복지시설	노인복지시설	노인복지시설	장애인복지시설	장애인복지시설	여성복지시설	여성복지시설	정신질환자요양시설	정신질환자요양시설	부랑인시설	부랑인시설
기간	자치구	시설수	생활인원	시설수	생활인원	시설수	생활인원	시설수	생활인원	시설수	생활인원	시설수	생활인원	시설수	생활인원
2008	합계	375	19,870	108	3,692	172	8,280	39	3,269	49	1,733	3	798	4	2,098
2008	종로구	21	975	-	-	17	415	2	506	2	54	-	-	-	-
2008	중구	5	240	2	63	2	165	-	-	1	12	-	-	-	-
2008	용산구	9	356	2	131	2	89	1	40	4	96	-	-	-	-
2008	성동구	4	311	2	52	2	259	-	-	-	-	-	-	-	-
2008	광진구	5	60	1	8	4	52	-	-	-	-	-	-	-	-
2008	동대문구	17	374	6	137	8	212	-	-	3	25	-	-	-	-
2008	중랑구	6	417	2	14	4	403	-	-	-	-	-	-	-	-
2008	성북구	20	633	5	28	9	413	1	79	5	113	-	-	-	-
2008	강북구	13	389	4	24	4	218	3	123	2	24	-	-	-	-
2008	도봉구	9	419	3	28	5	291	1	100	-	-	-	-	-	-
2008	노원구	16	1,623	1	80	8	1,135	6	350	1	58	-	-	-	-
2008	은평구	27	3,513	6	1,048	15	551	3	329	1	10	1	198	1	1,377
2008	서대문구	19	502	6	194	10	213	-	-	3	95	-	-	-	-
2008	마포구	15	505	4	94	4	282	1	56	6	73	-	-	-	-
2008	양천구	12	497	7	157	2	33	3	307	-	-	-	-	-	-
2008	강서구	24	1,438	6	128	15	1,172	1	72	2	66	-	-	-	-
2008	구로구	16	537	6	135	4	244	-	-	6	158	-	-	-	-
2008	금천구	17	422	2	71	15	351	-	-	-	-	-	-	-	-
2008	영등포구	22	800	4	176	13	370	3	237	2	17	-	-	-	-
2008	동작구	13	518	4	198	6	235	1	61	2	24	-	-	-	-
2008	관악구	20	530	13	237	5	149	1	134	1	10	-	-	-	-
2008	서초구	7	223	1	6	3	68	2	129	1	20	-	-	-	-
2008	강남구	14	937	3	152	4	165	1	160	5	316	-	-	1	144
2008	송파구	16	567	7	37	3	191	5	327	1	12	-	-	-	-
2008	강동구	13	916	2	153	7	504	4	259	-	-	-	-	-	-
2008	기타	15	2,168	9	341	1	100	-	-	1	550	2	600	2	577
